#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         686     1.72629     1.67997  0.00128304
         687       1.728     1.68004  0.00128308
         688      1.7296     1.68011  0.00128323
         689     1.73106     1.68018   0.0012835
         690     1.73239     1.68026  0.00128387
         691     1.73358     1.68034  0.00128433
         692     1.73462     1.68041  0.00128486
         693      1.7355     1.68049  0.00128547
         694     1.73624     1.68057  0.00128612
         695     1.73684     1.68066  0.00128682
         696     1.73728     1.68074  0.00128754
         697     1.73758     1.68082  0.00128827
         698     1.73774      1.6809    0.001289
         699     1.73777     1.68098  0.00128972
         700     1.73766     1.68106  0.00129042
         701     1.73743     1.68114  0.00129108
         702     1.73707     1.68122   0.0012917
         703      1.7366      1.6813  0.00129226
         704     1.73601     1.68138  0.00129276
         705     1.73531     1.68146  0.00129319
         706     1.73451     1.68153  0.00129354
         707     1.73362      1.6816  0.00129381
         708     1.73263     1.68168  0.00129398
         709     1.73155     1.68175  0.00129407
         710     1.73039     1.68182  0.00129406
         711     1.72915     1.68188  0.00129395
         712     1.72785     1.68195  0.00129374
         713     1.72648     1.68201  0.00129343
         714     1.72505     1.68207  0.00129303
         715     1.72358     1.68213  0.00129252
         716     1.72206     1.68218  0.00129192
         717     1.72051     1.68224  0.00129122
         718     1.71894     1.68229  0.00129044
         719     1.71735     1.68234  0.00128956
         720     1.71575     1.68238  0.00128861
         721     1.71415     1.68243  0.00128757
         722     1.71257     1.68247  0.00128647
         723     1.71101     1.68251  0.00128529
         724     1.70949     1.68255  0.00128406
         725     1.70801     1.68258  0.00128277
         726     1.70658     1.68261  0.00128142
